language,page_title,domain,kingdom,phylum,class,order,suborder,superfamily,family,genus,species,Wikidata,Wikispecies,ADW,BOLD,CoL,GBIF,iNaturalist,IRMNG,ITIS,IUCN,NCBI,Open Tree of Life,RD,Species+
en,Maud (donkey),,,,,,,,,,,,,,,,,,,,,,,,
en,Maud the Mule,,,,,,,,,,,,,,,,,,,,,,,,
en,"The miller, his son and the donkey",,,,,,,,,,,,,,,,,,,,,,,,
en,"Nestor, the Long-Eared Christmas Donkey",,,,,,,,,,,,,,,,,,,,,,,,
en,Nicholas Nye,,,,,,,,,,,,,,,,,,,,,,,,
en,The Old Man and the Ass,,,,,,,,,,,,,,,,,,,,,,,,
en,The Padisah's Youngest Daughter and Her Donkey-Skull Husband,,,,,,,,,,,,,,,,,,,,,,,,
en,Platero,,,,,,,,,,,,,,,,,,,,,,,,
en,Puzzle (Narnia),,,,,,,,,,,,,,,,,,,,,,,,
en,The Small One (book),,,,,,,,,,,,,,,,,,,,,,,,
en,Sylvester and the Magic Pebble,,,,,,,,,,,,,,,,,,,,,,,,
en,Talking donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Town Musicians of Bremen,,,,,,,,,,,,,,,,,,,,,,,,
en,Los Trotamúsicos,,,,,,,,,,,,,,,,,,,,,,,,
en,Trotro,,,,,,,,,,,,,,,,,,,,,,,,
en,Wise Donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,"The Wishing-Table, the Gold-Ass, and the Cudgel in the Sack",,,,,,,,,,,,,,,,,,,,,,,,
en,The Wonky Donkey,,,,,,,,,,,,,,,,,,,,,,,,
en,Army Mules,,,,,,,,,,,,,,,,,,,,,,,,
en,The Ass and his Masters,,,,,,,,,,,,,,,,,,,,,,,,
en,The Ass and the Pig,,,,,,,,,,,,,,,,,,,,,,,,
en,The Ass in the Lion's Skin,,,,,,,,,,,,,,,,,,,,,,,,
en,Baba Looey,,,,,,,,,,,,,,,,,,,,,,,,
en,Benjamin (Animal Farm),,,,,,,,,,,,,,,,,,,,,,,,
en,Nick Bottom,,,,,,,,,,,,,,,,,,,,,,,,
en,Candlewick (character),,,,,,,,,,,,,,,,,,,,,,,,
en,The Donkey (fairy tale),,,,,,,,,,,,,,,,,,,,,,,,
en,Donkey (Shrek),,,,,,,,,,,,,,,,,,,,,,,,
en,Donkey Cabbages,,,,,,,,,,,,,,,,,,,,,,,,
en,Donkey Hodie,,,,,,,,,,,,,,,,,,,,,,,,
en,Donkey Hodie (TV series),,,,,,,,,,,,,,,,,,,,,,,,
en,The Donkey's Head,,,,,,,,,,,,,,,,,,,,,,,,
en,The Donkey's Head (Turkish folktale),,,,,,,,,,,,,,,,,,,,,,,,
